hospital,location,beds,icu,contact,latitude,longitude
City General Hospital,Vijayawada,250,30,+91-9866123001,16.5062,80.6480
Apollo Multi-Specialty,Visakhapatnam,400,60,+91-9866123002,17.6868,83.2185
Government General Hospital,Guntur,300,40,+91-9866123003,16.3067,80.4365
KIMS Hospital,Hyderabad,500,80,+91-9866123004,17.3850,78.4867
Care Hospital,Nellore,180,20,+91-9866123005,14.4426,79.9865
Sunrise Hospital,Kurnool,150,15,+91-9866123006,15.8281,78.0373
Rainbow Children Hospital,Vijayawada,120,10,+91-9866123007,16.5062,80.6480
District Hospital,Kadapa,200,25,+91-9866123008,14.4673,78.8242
St. Mary's Medical Center,Chennai,600,90,+91-9866123009,13.0827,80.2707
Fortis Hospital,Bengaluru,450,70,+91-9866123010,12.9716,77.5946
